"linear","knn","ann","svm","rf","Resample"
0.350965841361132,0.117343143411439,0.48136780660318,0.0687753051260777,0.443732638095236,"Fold01"
0.404133466238164,0.130606528102535,0.483552416186832,0.06403927812388,0.447113996683258,"Fold02"
0.374863203248044,0.115833219961344,0.391800332999459,0.061876483938054,0.441483453378,"Fold03"
0.363472089803348,0.109002550029043,0.484268219221865,0.0807598002663363,0.468030385195358,"Fold04"
0.415737191847126,0.113303737502039,0.473425384033995,0.0666506111965418,0.493232080242486,"Fold05"
0.372912498662427,0.121134980442011,0.421105895102115,0.0665296965120431,0.436089852380954,"Fold06"
0.373964296181538,0.117051765766975,0.466139358924354,0.0676340324364533,0.526620175565168,"Fold07"
0.325464610395459,0.106814601066353,0.424085759569142,0.0673750561913333,0.408536817532464,"Fold08"
0.391757942760457,0.125993575990075,0.467757293393855,0.070281069036586,0.452197475472601,"Fold09"
0.352408980447273,0.122333029318799,0.455880094892623,0.067309199466194,0.450781659523806,"Fold10"
